target_id	length	eff_length	est_counts	tpm
CPERKG00000000162.1	2499	2282.91	2994.97	15.8011
CPERKG00000000163.1	2122	1905.91	10251	64.7811
CPERKG00000000164.1	2922	2705.91	2988	13.3
CPERKG00000000165.1	3627	3410.91	2568	9.06794
CPERKG00000000166.1	2108	1891.91	496	3.15766
CPERKG00000000167.1	2534	2317.91	4371	22.7127
CPERKG00000000168.1	1389	1172.91	1362	13.9861
CPERKG00000000169.1	1262	1045.91	6512	74.9903
CPERKG00000000170.1	1141	924.907	26653.1	347.083
CPERKG00000000171.1	1368	1151.91	1165.88	12.1904
CPERKG00000000172.1	2080	1863.91	4274	27.6181
CPERKG00000000173.1	1346	1129.91	28881	307.86
CPERKG00000000174.1	3507	3290.91	3046.07	11.1483
CPERKG00000000175.1	12147	11930.9	4027	4.06529
CPERKG00000000176.1	1485	1268.91	1741	16.5254
CPERKG00000000177.1	2253	2036.91	590	3.48871
CPERKG00000000178.1	780	564.087	189	4.03552
CPERKG00000000179.1	943	726.907	4363	72.2919
CPERKG00000000180.1	13542	13325.9	3353	3.03054
CPERKG00000000181.1	10620	10403.9	3056.57	3.53852
CPERKG00000000182.1	1086	869.907	3080.43	42.6503
CPERKG00000000183.1	1791	1574.91	526	4.02267
CPERKG00000000184.1	3978	3761.91	9439	30.2205
CPERKG00000000185.1	2063	1846.91	1257	8.19736
CPERKG00000000186.1	2029	1812.91	7407	49.2097
CPERKG00000000187.1	4827	4610.91	8465.81	22.1139
CPERKG00000000188.1	1686	1469.91	3637.19	29.803
CPERKG00000000189.1	1297	1080.91	4289	47.7916
CPERKG00000000190.1	2273	2056.91	46780	273.923
CPERKG00000000191.1	1650	1433.91	25908	217.619
CPERKG00000000192.1	1336	1119.91	3533	37.9966
CPERKG00000000193.1	2633	2416.91	6200	30.8969
CPERKG00000000194.1	1470	1253.91	2613	25.0991
CPERKG00000000195.1	1383	1166.91	1924	19.8588
CPERKG00000000196.1	3297	3080.91	3603	14.0854
CPERKG00000000197.1	2349	2132.91	0	0
CPERKG00000000198.1	657	442.343	1738	47.3232
CPERKG00000000199.1	2277	2060.91	3505	20.4839
CPERKG00000000200.1	1493	1276.91	1735	16.3653
CPERKG00000000201.1	4230	4013.91	2522	7.56765
CPERKG00000000202.1	2700	2483.91	0	0
CPERKG00000000203.1	2626	2409.91	2445	12.2197
CPERKG00000000204.1	1011	794.907	0	0
CPERKG00000000205.1	4366	4149.91	1905	5.52892
CPERKG00000000206.1	1722	1505.91	2300	18.3956
CPERKG00000000207.1	1707	1490.91	2445	19.752
CPERKG00000000208.1	2327	2110.91	658	3.7544
CPERKG00000000209.1	2037	1820.91	7164.89	47.392
CPERKG00000000210.1	2820	2603.91	2877.11	13.3081
CPERKG00000000211.1	3360	3143.91	3252.92	12.462
CPERKG00000000212.1	5475	5258.91	3028.08	6.93514
CPERKG00000000213.1	438	235.685	1631	83.3498
CPERKG00000000214.1	477	270.846	26	1.1562
CPERKG00000000215.1	863	646.907	7947	147.96
CPERKG00000000216.1	2043	1826.91	521	3.43483
CPERKG00000000217.1	1593	1376.91	972	8.50247
CPERKG00000000218.1	2176	1959.91	1873	11.5103
CPERKG00000000219.1	2259	2042.91	14	0.0825397
CPERKG00000000220.1	1593	1376.91	626	5.47587
CPERKG00000000221.1	1170	953.907	1054	13.3082
CPERKG00000000222.1	1404	1187.91	1120	11.3558
CPERKG00000000223.1	1390	1173.91	887	9.10067
CPERKG00000000224.1	680	464.892	2733	70.8061
CPERKG00000000225.1	1376	1159.91	5098	52.9371
CPERKG00000000226.1	564	352.067	98	3.35262
CPERKG00000000227.1	1467	1250.91	39726	382.502
CPERKG00000000228.1	1100	883.907	5151	70.1889
CPERKG00000000229.1	2187	1970.91	6160	37.6442
CPERKG00000000230.1	2281	2064.91	3521	20.5376
CPERKG00000000231.1	1782	1565.91	4218	32.4432
CPERKG00000000232.1	2700	2483.91	7843	38.0304
CPERKG00000000233.1	3323	3106.91	1879.87	7.28757
CPERKG00000000234.1	3444	3227.91	1066.13	3.97807
CPERKG00000000235.1	1225	1008.91	3118	37.2228
CPERKG00000000236.1	2246	2029.91	3801.36	22.5552
CPERKG00000000236.2	2178	1961.91	168.639	1.03529
CPERKG00000000237.1	2193	1976.91	81	0.493494
CPERKG00000000238.1	2294	2077.91	198	1.14768
CPERKG00000000239.1	2823	2606.91	13064	60.3579
CPERKG00000000240.1	3448	3231.91	33318	124.166
CPERKG00000000241.1	1548	1331.91	2907	26.2878
CPERKG00000000242.1	2148	1931.91	9740	60.7234
CPERKG00000000243.1	1503	1286.91	4749	44.4466
CPERKG00000000244.1	3842	3625.91	2268	7.53373
CPERKG00000000245.1	1970	1753.91	2329	15.9936
CPERKG00000000246.1	1697	1480.91	30042	244.334
CPERKG00000000247.1	577	364.705	2458	81.1753
CPERKG00000000248.1	1008	791.907	1289	19.6048
CPERKG00000000249.1	1740	1523.91	353	2.78997
CPERKG00000000250.1	2271	2054.91	445	2.60826
CPERKG00000000251.1	3616	3399.91	726	2.57189
CPERKG00000000252.1	2834	2617.91	1213.25	5.58187
CPERKG00000000253.1	2459	2242.91	5253.75	28.2125
CPERKG00000000254.1	1969	1752.91	2009	13.804
CPERKG00000000255.1	3202	2985.91	4088	16.4899
CPERKG00000000256.1	2875	2658.91	2709	12.2713
CPERKG00000000257.1	1956	1739.91	0	0
CPERKG00000000258.1	1061	844.907	14331.3	204.296
CPERKG00000000259.1	1044	827.907	6115.73	88.9714
CPERKG00000000260.1	1450	1233.91	1319.5	12.8798
CPERKG00000000261.1	2202	1985.91	5818	35.2857
CPERKG00000000262.1	1325	1108.91	833	9.0476
CPERKG00000000263.1	5017	4800.91	5127.72	12.8643
CPERKG00000000264.1	1227	1010.91	1248.28	14.8725
CPERKG00000000265.1	1736	1519.91	3972	31.4757
CPERKG00000000266.1	1446	1229.91	1941.31	19.011
CPERKG00000000267.1	2097	1880.91	3009	19.2681
CPERKG00000000268.1	3567	3350.91	2051	7.37203
CPERKG00000000269.1	2745	2528.91	5984	28.4998
CPERKG00000000270.1	2436	2219.91	926	5.02412
CPERKG00000000271.1	1233	1016.91	1810	21.4378
CPERKG00000000272.1	3946	3729.91	4022	12.9876
CPERKG00000000273.1	237	78.7688	2360	360.862
CPERKG00000000274.1	3419	3202.91	180.752	0.679706
CPERKG00000000275.1	2102	1885.91	109.248	0.697716
CPERKG00000000276.1	5140	4923.91	3272.92	8.00587
CPERKG00000000277.1	1752	1535.91	708.084	5.55269
CPERKG00000000278.1	240	80.5806	6015	899.06
CPERKG00000000279.1	1035	818.907	2041.89	30.0317
CPERKG00000000280.1	2363	2146.91	4112	23.0687
CPERKG00000000281.1	753	537.087	28284	634.278
CPERKG00000000282.1	2987	2770.91	1939	8.42829
CPERKG00000000283.1	1102	885.907	5424	73.742
CPERKG00000000284.1	1238	1021.91	396.996	4.67905
CPERKG00000000284.2	1275	1058.91	3866	43.9732
CPERKG00000000285.1	1204	987.907	1474	17.9707
CPERKG00000000286.1	3152	2935.91	36968	151.659
CPERKG00000000287.1	1984	1767.91	1313	8.94517
CPERKG00000000288.1	1586	1369.91	591	5.19613
CPERKG00000000289.1	1839	1622.91	4463	33.122
CPERKG00000000290.1	1192	975.907	2654	32.7549
CPERKG00000000291.1	1255	1038.91	10477	121.463
CPERKG00000000292.1	1176	959.907	5502	69.0359
CPERKG00000000293.1	2585	2368.91	2028	10.3111
CPERKG00000000294.1	1472	1255.91	1351	12.9563
CPERKG00000000295.1	13848	13631.9	3228	2.85207
CPERKG00000000296.1	4298	4081.91	5950	17.5565
CPERKG00000000297.1	1365	1148.91	18542	194.382
CPERKG00000000298.1	523	313.075	8424	324.081
CPERKG00000000299.1	1546	1329.91	1912	17.3161
CPERKG00000000300.1	1000	783.907	78207	1201.61
CPERKG00000000301.1	1922	1705.91	1697	11.9815
CPERKG00000000302.1	1986	1769.91	574	3.90611
CPERKG00000000303.1	1620	1403.91	1966	16.8666
CPERKG00000000304.1	1442	1225.91	1289	12.6642
CPERKG00000000305.1	5687	5470.91	3928	8.6476
CPERKG00000000306.1	3420	3203.91	0	0
CPERKG00000000307.1	1518	1301.91	3827	35.4048
CPERKG00000000308.1	1601	1384.91	352	3.0613
CPERKG00000000309.1	2038	1821.91	3744.97	24.7574
CPERKG00000000310.1	1117	900.907	1464.03	19.5728
CPERKG00000000311.1	2549	2332.91	7699	39.7485
CPERKG00000000312.1	1854	1637.91	3704	27.2374
CPERKG00000000313.1	2685	2468.91	4513	22.0163
CPERKG00000000314.1	815	598.969	10927	219.725
CPERKG00000000315.1	4179	3962.91	6757	20.5364
CPERKG00000000316.1	498	289.696	3362	139.778
CPERKG00000000317.1	1682	1465.91	2005	16.4737
CPERKG00000000318.1	2076	1859.91	5386	34.8786
CPERKG00000000319.1	1734	1517.91	6236	49.4817
CPERKG00000000320.1	2886	2669.91	4125	18.6085
CPERKG00000000321.1	2889	2672.91	2027	9.13384
CPERKG00000000322.1	4566	4349.91	3290	9.1096
CPERKG00000000323.1	2778	2561.91	0	0
CPERKG00000000324.1	1580	1363.91	779	6.87917
CPERKG00000000325.1	5974	5757.91	4772	9.98204
CPERKG00000000326.1	2763	2546.91	6762	31.9776
CPERKG00000000327.1	1881	1664.91	6303	45.5975
CPERKG00000000328.1	2580	2363.91	1816	9.25271
CPERKG00000000329.1	777	561.087	0	0
CPERKG00000000330.1	7468	7251.91	8514	14.1405
CPERKG00000000331.1	3348	3131.91	0	0
CPERKG00000000332.1	957	740.907	6037	98.1389
CPERKG00000000333.1	2112	1895.91	3483	22.1269
CPERKG00000000334.1	1917	1700.91	1621	11.4785
CPERKG00000000335.1	3489	3272.91	204	0.750724
CPERKG00000000336.1	3322	3105.91	388	1.50462
CPERKG00000000337.1	1982	1765.91	2106	14.364
CPERKG00000000338.1	1657	1440.91	19027	159.044
CPERKG00000000339.1	1382	1165.91	1619	16.725
CPERKG00000000340.1	920	703.907	808	13.8255
CPERKG00000000341.1	1272	1055.91	3179	36.2617
CPERKG00000000342.1	1310	1093.91	8052.3	88.659
CPERKG00000000343.1	666	451.12	1828	48.8054
CPERKG00000000344.1	1104	887.907	2237	30.3446
CPERKG00000000345.1	3856	3639.91	263	0.87026
CPERKG00000000346.1	1903	1686.91	1457	10.4028
CPERKG00000000347.1	1917	1700.91	3200	22.6596
CPERKG00000000348.1	4902	4685.91	5675.77	14.5886
CPERKG00000000349.1	4407	4190.91	30.2278	0.0868723
CPERKG00000000350.1	1460	1243.91	286	2.76925
CPERKG00000000351.1	1865	1648.91	1547	11.3
CPERKG00000000352.1	5517	5300.91	4212.43	9.5712
CPERKG00000000353.1	1470	1253.91	1757.57	16.8822
CPERKG00000000354.1	892	675.907	1830	32.6098
CPERKG00000000355.1	2925	2708.91	5134	22.8268
CPERKG00000000356.1	951	734.907	2392	39.2024
CPERKG00000000357.1	2227	2010.91	31228	187.041
CPERKG00000000358.1	1296	1079.91	0	0
CPERKG00000000359.1	5208	4991.91	2960	7.14182
CPERKG00000000360.1	1587	1370.91	5310	46.652
CPERKG00000000361.1	3995	3778.91	26354	83.997
CPERKG00000000362.1	2793	2576.91	0	0
CPERKG00000000363.1	1107	890.907	892	12.0591
CPERKG00000000364.1	1080	863.907	6645	92.6428
CPERKG00000000365.1	1176	959.907	12064	151.372
CPERKG00000000366.1	1735	1518.91	527	4.17891
CPERKG00000000367.1	5279	5062.91	3490	8.3025
CPERKG00000000368.1	3009	2792.91	4885	21.0665
CPERKG00000000369.1	1254	1037.91	1706	19.7972
CPERKG00000000370.1	426	225.11	1031	55.163
CPERKG00000000371.1	2136	1919.91	1645	10.3198
CPERKG00000000372.1	1731	1514.91	801	6.3684
CPERKG00000000373.1	1539	1322.91	3079	28.0326
CPERKG00000000374.1	1531	1314.91	1634	14.9672
CPERKG00000000375.1	3410	3193.91	1198	4.51771
CPERKG00000000376.1	1407	1190.91	0	0
CPERKG00000000377.1	1568	1351.91	3626	32.3046
CPERKG00000000378.1	3155	2938.91	3308	13.557
CPERKG00000000379.1	1395	1178.91	0	0
CPERKG00000000380.1	1860	1643.91	2097	15.364
CPERKG00000000381.1	3324	3107.91	16374.9	63.4593
CPERKG00000000381.2	3322	3105.91	55.0704	0.213557
CPERKG00000000382.1	690	474.798	0	0
CPERKG00000000383.1	2419	2202.91	4782	26.1455
CPERKG00000000384.1	1163	946.907	11898	151.339
CPERKG00000000385.1	1784	1567.91	658	5.05463
CPERKG00000000386.1	1739	1522.91	195	1.54221
CPERKG00000000387.1	3115	2898.91	7371.51	30.6271
CPERKG00000000388.1	729	513.401	433.494	10.1697
CPERKG00000000389.1	1913	1696.91	2690	19.0932
CPERKG00000000390.1	2070	1853.91	3322	21.5822
CPERKG00000000391.1	546	334.86	0	0
CPERKG00000000392.1	4257	4040.91	2024	6.03275
CPERKG00000000393.1	2481	2264.91	2988	15.8896
CPERKG00000000394.1	456	251.839	5423	259.358
CPERKG00000000395.1	5319	5102.91	3449	8.14065
CPERKG00000000396.1	1701	1484.91	3981	32.2906
CPERKG00000000397.1	669	454.074	10436	276.816
CPERKG00000000398.1	1044	827.907	1112	16.1773
CPERKG00000000399.1	2360	2143.91	2991	16.8033
CPERKG00000000400.1	2745	2528.91	4463	21.2558
CPERKG00000000401.1	1482	1265.91	0	0
CPERKG00000000402.1	13416	13199.9	5718	5.21743
CPERKG00000000403.1	1543	1326.91	2366	21.4762
CPERKG00000000404.1	4153	3936.91	1745.82	5.34108
CPERKG00000000405.1	2530	2313.91	5625	29.2793
CPERKG00000000406.1	15252	15035.9	4469	3.57985
CPERKG00000000407.1	1388	1171.91	1938	19.9179
CPERKG00000000408.1	1028	811.907	2685	39.831
CPERKG00000000409.1	14845	14628.9	3617.29	2.97821
CPERKG00000000410.1	1539	1322.91	654.713	5.9608
CPERKG00000000411.1	1827	1610.91	870	6.50478
CPERKG00000000412.1	975	758.907	4530	71.8941
CPERKG00000000413.1	3636	3419.91	1427	5.02566
CPERKG00000000414.1	1570	1353.91	18479	164.389
CPERKG00000000415.1	1722	1505.91	2144	17.1479
CPERKG00000000416.1	1178	961.907	1301	16.2902
CPERKG00000000417.1	3616	3399.91	1172.44	4.15344
CPERKG00000000418.1	1410	1193.91	835.556	8.42925
CPERKG00000000419.1	1397	1180.91	17157	174.988
CPERKG00000000420.1	1516	1299.91	3138.91	29.0838
CPERKG00000000421.1	1319	1102.91	1533	16.7412
CPERKG00000000422.1	1041	824.907	163788	2391.45
CPERKG00000000423.1	2719	2502.91	4374.42	21.0503
CPERKG00000000424.1	1284	1067.91	2154.58	24.3004
CPERKG00000000425.1	1517	1300.91	2769	25.6366
CPERKG00000000426.1	4753	4536.91	2254.42	5.98493
CPERKG00000000427.1	2514	2297.91	502.576	2.63422
CPERKG00000000428.1	1686	1469.91	1928	15.7979
CPERKG00000000429.1	1788	1571.91	17334	132.818
CPERKG00000000430.1	1556	1339.91	5977	53.7269
CPERKG00000000431.1	2694	2477.91	44902	218.255
CPERKG00000000432.1	2475	2258.91	2883.99	15.3773
CPERKG00000000433.1	1651	1434.91	776.009	6.51368
CPERKG00000000434.1	2195	1978.91	390	2.37368
CPERKG00000000435.1	2691	2474.91	532	2.58903
CPERKG00000000436.1	2500	2283.91	5414.86	28.5557
CPERKG00000000437.1	1595	1378.91	1151	10.0537
CPERKG00000000438.1	2228	2011.91	3016	18.0554
CPERKG00000000439.1	2672	2455.91	2666	13.0747
CPERKG00000000440.1	1028	811.907	2925	43.3913
CPERKG00000000441.1	5095	4878.91	2528.36	6.24165
CPERKG00000000442.1	477	270.846	925.641	41.1627
CPERKG00000000443.1	1035	818.907	4975	73.1715
CPERKG00000000444.1	9868	9651.91	3013	3.75984
CPERKG00000000445.1	879	662.907	264	4.79661
CPERKG00000000446.1	1810	1593.91	3148	23.7879
CPERKG00000000447.1	1877	1660.91	3647	26.4469
CPERKG00000000448.1	318	135.533	300	26.66
CPERKG00000000449.1	1875	1658.91	906	6.57794
CPERKG00000000450.1	3237	3020.91	3057	12.1883
CPERKG00000000451.1	2039	1822.91	626	4.13612
CPERKG00000000452.1	1865	1648.91	3194	23.3304
CPERKG00000000453.1	1084	867.907	15376	213.38
CPERKG00000000454.1	1268	1051.91	1120.22	12.8265
CPERKG00000000455.1	1135	918.907	60230.8	789.461
CPERKG00000000455.2	1479	1262.91	1665.95	15.8882
CPERKG00000000456.1	405	206.894	1514	88.1377
CPERKG00000000457.1	1981	1764.91	153	1.04413
CPERKG00000000458.1	2611	2394.91	660	3.31924
CPERKG00000000459.1	1700	1483.91	145	1.17691
CPERKG00000000460.1	1379	1162.91	11804	122.255
CPERKG00000000461.1	1665	1448.91	84.0521	0.698701
CPERKG00000000462.1	1263	1046.91	81.9479	0.942786
CPERKG00000000463.1	915	698.907	770	13.2695
CPERKG00000000464.1	573	360.888	64888	2165.59
CPERKG00000000465.1	1728	1511.91	1210	9.63926
CPERKG00000000466.1	5457	5240.91	876	2.01317
CPERKG00000000467.1	1113	896.907	697	9.35985
CPERKG00000000468.1	2477	2260.91	8231.27	43.8498
CPERKG00000000469.1	300	121.755	1459.73	144.401
CPERKG00000000470.1	3671	3454.91	4773	16.6394
CPERKG00000000471.1	2111	1894.91	1552	9.86478
CPERKG00000000472.1	1626	1409.91	161	1.37537
CPERKG00000000473.1	2803	2586.91	2114	9.84255
CPERKG00000000474.1	1374	1157.91	0	0
CPERKG00000000475.1	600	386.911	17	0.529202
CPERKG00000000476.1	3520	3303.91	2965	10.8089
CPERKG00000000477.1	728	512.401	8269	194.369
CPERKG00000000478.1	291	115.497	11565	1206.03
CPERKG00000000479.1	1459	1242.91	6497	62.959
CPERKG00000000480.1	2486	2269.91	4061	21.5481
CPERKG00000000481.1	2982	2765.91	4333.85	18.8721
CPERKG00000000482.1	2369	2152.91	3135.15	17.5395
CPERKG00000000483.1	2590	2373.91	2885	14.6375
CPERKG00000000484.1	3098	2881.91	1620	6.77047
CPERKG00000000485.1	1405	1188.91	150	1.51959
CPERKG00000000486.1	1176	959.907	2023	25.3834
CPERKG00000000487.1	1020	803.907	1513	22.6682
CPERKG00000000488.1	861	644.907	11203	209.228
CPERKG00000000489.1	574	361.815	646	21.5045
CPERKG00000000490.1	1461	1244.91	1371	13.2643
CPERKG00000000491.1	801	585.029	1355	27.8962
CPERKG00000000492.1	4107	3890.91	5534	17.1306
CPERKG00000000493.1	2048	1831.91	1746.61	11.4836
CPERKG00000000494.1	1989	1772.91	3691.39	25.0777
CPERKG00000000495.1	3498	3281.91	5246.19	19.2531
CPERKG00000000496.1	2148	1931.91	1124.81	7.01256
CPERKG00000000497.1	704	488.751	3496	86.1525
